Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100001	Detenicky_zluty	5.00	2.00	2.00	1.50	3.50	3.75	4.00	1.00	5.50	1.75	2.00	4.25	3.25
L0100002	Klatovsky_zeleny	5.00	2.25	1.25	1.00	3.00	3.75	5.00	1.00	5.50	1.25	1.25	4.75	4.00
L0100003	Liblicky_bastard	5.00	2.25	2.75	1.50	2.25	4.50	4.00	1.00	4.50	1.75	1.25	4.25	3.50
L0100004	Milion_zeleny	5.00	1.75	1.50	1.00	2.00	3.25	3.50	1.00	5.50	1.50	1.50	4.25	3.50
L0100005	Milion_zluty	5.00	5.00	1.25	1.00	2.25	3.75	4.00	1.00	7.00	1.50	1.25	5.25	4.25
L0100006	Slovensky_expres	5.00	2.25	2.25	1.25	1.75	2.75	5.50	1.00	4.00	1.00	1.00	4.50	3.50
L0100007	Slovensky_konservovy	5.00	2.50	1.50	1.50	2.25	3.00	4.50	1.00	4.50	1.25	1.25	4.50	4.00
L0100008	Viktoria_75	5.00	2.75	1.25	1.25	3.50	3.25	4.00	1.00	5.50	1.25	1.50	5.00	4.00
L0100009	Viktoria_800	5.00	2.50	3.00	1.25	2.25	3.25	5.50	1.00	4.00	1.50	1.25	5.25	4.50
L0100010	Stupicky_zeleny	5.00	3.00	1.50	1.25	1.75	4.00	4.00	1.00	6.50	1.25	1.25	4.75	4.25
L0100011	Zidlochovicky_Viktoria_rany	5.00	3.50	1.50	1.50	2.00	3.50	3.50	1.00	5.00	1.50	1.25	5.00	4.00
L0100012	Jupiter	5.00	1.25	1.25	1.25	1.25	4.00	5.50	1.00	5.00	1.25	1.00	4.75	4.00
L0100013	CL16.4	5.00	2.25	1.50	1.50	2.75	4.00	5.50	1.00	4.50	1.75	1.25	4.00	3.75
L0100014	Viktoria_CL_16.6	5.00	2.75	1.25	1.25	2.50	5.00	4.50	1.00	6.00	1.25	1.25	4.50	4.00
L0100015	CL_18.5	5.00	3.25	1.50	1.25	2.50	3.25	4.00	1.00	5.00	1.25	1.00	4.75	3.75
L0100016	CL_18.7	5.00	1.75	2.00	1.00	3.00	3.25	4.00	1.00	5.00	1.50	1.50	4.00	3.25
L0100017	CL_19.1	5.00	1.75	2.75	1.50	2.25	4.00	4.00	1.00	7.00	1.50	1.50	4.00	3.25
